,Strain,Type,Rating,Effects,Flavor,Description,strain,id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1070,Nebula,hybrid,4.4,"Uplifted,Happy,Euphoric,Energetic,Creative","Earthy,Honey,Pungent","The Nebula marijuana strain was bred by Paradise Seeds in 1996. Its name means 'Starcloud' and it has been known to 'twinkle' with THC coating, with a head and body buzz described as intense and almost psychedelic. The buds have been known to smell and taste like honey, and flowering time is a minimum of 9 weeks. Nebula has won many awards, including 3rd place in the sativa category at the High Times Cannabis Cup in 1999 and 2nd place in 2005. It also took 3rd place at the Highlife Cup in 2004 in the Hydro category, and 1st place at the Copa La Bella Flor Spain in 2005.",nebula,261,1,0,Nebula,,,,Hybrid,0,,,,,,,127,,,0,,,0,,,,,,,,,
1071,Nebula-Ii-Cbd,hybrid,4.4,"Focused,Uplifted,Talkative,Creative,Euphoric","Earthy,Spicy/Herbal,Woody","Nebula II CBD was bred as a collaboration between Paradise Seeds and the CBD Crew. The 60/40 sativa-dominant strain was bred for its high concentrations of CBD which hover around 7%. The balance of CBD and THC at a 1-to-1 ratio makes Nebula II CBD a top choice for medical cannabis consumers. It introduces itself with a fruity, earthy aroma and carries a hint of honey sweetness. The calming effects of Nebula II CBD ease pain, stress, and a number of other medical ailments without halting energy or productivity.",nebula-ii-cbd,5272,2,0,Nebula II CBD,,,,Hybrid,,Paradise Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072,Negra-44,indica,5.0,"Creative,Energetic,Relaxed,Hungry,Talkative","Sweet,Earthy,Citrus","Negra 44 is an indica-dominant strain bred by R-Kiem Seeds in Spain. This award-winning variety crosses a Top 44 indica with native Ghana landrace strains, and inherits an earthy, fruity aroma. Indoors, Negra 44 flowers in 8 weeks while outdoor gardens are ready for harvest at the end of September. Negra 44 produces dark green buds and has adapted over time to suit Mediterranean climates.",negra-44,1996,2,0,Negra 44,,,,Indica,,,"Creative, Energetic, Relaxed, Hungry, Talkative","Insomnia, Lack of Appetite, Muscle Spasms, Pain","Sweet, Earthy, Citrus",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073,Nepalese,sativa,4.4,"Happy,Uplifted,Hungry,Euphoric,Creative","Earthy,Grapefruit,Sweet","Nepalese refers to any strain that grows natively in the Nepal region. These indigenous vareities (also called landraces) tend to be sativa in growth structure, however the buds and effects more closely resemble indica varieties. Native Nepalese strains tend to be resinous and hashy in aroma, with buds growing dense toward the top of these sparsely branched plants.",nepalese,1568,2,0,Nepalese,,,,Sativa,,,"Relaxed, Happy, Uplifted, Euphoric, Sleepy, Dry Mouth, Paranoid","Stress, Depression, Pain, Nausea, Insomnia","Earthy, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074,Nepalese-Jam,hybrid,4.0,None,None,"Bred by Ace Seeds, a Nepalese female plant was crossed with a Jamaican ’85 male to create this hybrid, Nepalese Jam. If you’re looking for a strain that provides a long-lasting buzz without too much mental fogginess, Nepalese Jam is the hybrid for you. With good resistance to mold, fungus, and adverse weather conditions, Nepalese Jam requires only 9 weeks of flowering to produce dense and resinous buds.",nepalese-jam,843,1,0,Nepalese Jam,,,,Hybrid,,ACE Seeds,,,,,,0,,,0,,,0,,,,,,,,,
1075,Neptune-Kush,indica,4.3,"Relaxed,Uplifted,Happy,Hungry,Sleepy","Citrus,Pine,Honey","Neptune Kush is a classic indica strain, inducing a relaxing sedation optimal for stress and anxiety relief. Due to these powerful effects, moderate elation is often experienced followed by a deep, physical sensation. The plant’s dense flowers are sticky when parsed; its smooth delivery to the body and longer high make it a great choice for the experienced consumer.",neptune-kush,262,1,0,Neptune Kush,,,,Indica,0,,"Relaxed, Uplifted, Happy, Hungry, Dry Mouth, Paranoid","Depression, Insomnia, Stress, Pain, Lack of Appetite","Citrus, Pine, Honey",,,0,,,0,,,0,,,,,,,,,
1076,Neptune-Og,indica,4.4,"Sleepy,Focused,Happy,Hungry,Relaxed","Pungent,Tree,Fruit,Earthy","As common for OG (“Ocean Grown”) strains, this planetary OG is a potent indica with a high THC content optimal for nighttime use. Neptune OG sets itself apart by its euphoric onset prior to the heavy, sedative effects, making it also useful for stress relief. This strain also differs from typical indicas in its earthy aroma that delivers smoothly with low expansion. An established strain within the medicinal cannabis community, Neptune OG can be appropriately described as otherworldly.",neptune-og,263,1,0,Neptune OG,,,,Hybrid,0,Unknown Breeder,"Relaxed, Sleepy, Hungry, Focused, Happy, Dry Mouth, Paranoid, Anxious","Insomnia, Pain, Stress, Muscle Spasms, Nausea",Earthy,"Southern California, CA",,1100,,,0,,,0,,,,,,,,,
1077,Nexus-Og,indica,4.8,"Relaxed,Euphoric,Happy,Aroused,Sleepy","Sweet,Berry,Earthy",Nexus OG is an indica strain that competed in the 2014 L.A. Cannabis Cup.,nexus-og,1997,2,0,Nexus OG,,,,Hybrid,,Unknown Breeder,"Relaxed, Euphoric, Happy, Horny, Sleepy, Dry Mouth","Depression, Insomnia, Lack of Appetite, Nausea","Sweet, Berry, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078,Nice-Cherry,indica,4.6,"Happy,Talkative,Uplifted,Relaxed,Hungry","Sweet,Berry,Pungent","Nice Cherry is an indica-dominant strain that captures the flavorful qualities of its Cherry parent and the relaxing attributes of Mr. Nice. With an aroma of sweet skunk, pine, and berry, Nice Cherry delivers a rush of cerebral energy that lifts the mood while relaxing the body. It’ll also bring an edge back to your appetite while providing focus to keep you productive.",nice-cherry,1998,2,0,Nice Cherry,,,,Hybrid,,Unknown Breeder,"Happy, Talkative, Uplifted, Relaxed, Hungry, Dry Mouth","Depression, Insomnia, Lack of Appetite, Stress","Sweet, Berry",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1079,Nicole-Kush,indica,4.9,"Relaxed,Euphoric,Uplifted,Happy,Tingly","Pungent,Sweet,Woody","Nicole Kush is a 75/25 indica-dominant strain that will satisfy your need for potency as well as flavor. Kosher Kush from DNA Genetics teamed up with the Nicole indica from Marimberos to create a dynamic variety that captures sweet and woody flavors with a touch of lemon. Deep relaxation overtakes the body, leaving the mind calm and introspective. Its buds bloom with chunky calyxes that may take on a stunning blue hue as they mature, depending on the phenotype. A delight for novice cultivators, Nicole Kush is a hardy, low-maintenance plant that gives way to large yields so long as it’s raised indoors, in a greenhouse, or in a warm Mediterranean climate.",nicole-kush,1999,2,0,Nicole Kush,,,,Hybrid,,DNA Genetics,"Relaxed, Euphoric, Sleepy, Uplifted, Dry Mouth","Insomnia, Depression","Earthy, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080,Night-Nurse,indica,4.6,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Sweet,Earthy,Diesel","Night Nurse is an indica-dominant strain from Reeferman Seeds that combines genetics from BC Hash Plant, Harmony, and Fire OG. It’s commonly used to fight anxiety, stress, insomnia and chronic pain. Are you having trouble sleeping? This 80/20 indica provides a polite balance of relaxing cerebral and body effects, making this the perfect nighttime sleeping aid.",night-nurse,921,2,0,Night Nurse,,,,Hybrid,,Reeferman Seeds,"Relaxed, Sleepy, Happy, Tingly, Hungry, Dry Mouth","Pain, Insomnia, Stress, Muscle Spasms","Sweet, Earthy","Beckwourth, CA",,1400,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081,Night-Terror-Og,indica,4.6,"Relaxed,Sleepy,Happy,Tingly,Euphoric","Earthy,Berry,Grape","Night Terror OG is what you get when you combine Blue Dream with Rare Darkness #1 genetics. This cleverly named hybrid sways heavily toward the indica side of the spectrum, inducing relaxing effects that sink deeper in the body over time. You may find your eyelids feeling heavy before long, but don’t let a name like Night Terror OG fool you: a good night’s sleep is on its way. This 70% indica isn’t necessarily a day-ender, as the OG Kush in Rare Darkness’ genes provides a heady, invigorating buzz that deteriorates stress at the end of a long day. These effects are ushered in by flavors of blueberry and fruit with subtle notes of lemon, pine, and diesel.",night-terror-og,2000,2,0,Night Terror OG,,,,Hybrid,,Rare Dankness Seeds,"Relaxed, Sleepy, Happy, Euphoric, Tingly, Dry Mouth, Anxious, Paranoid","Insomnia, Stress, Pain, Depression","Berry, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1082,Night-Train,indica,3.9,"Relaxed,Sleepy,Tingly,Euphoric,Uplifted","Pepper,Pungent,Chemical","Night Train is an indica-dominant cross between Jasmine and Trainwreck released by Elemental Seeds in California. DNA Genetics also has a strain with these genetics, but they’ve named their rendition Cole Train. With a pungent and spicy aroma reminiscent of Colombian sativas, Night Train delivers a body-melting blast of relaxing euphoria perfect for unwinding after a long day. Growers will appreciate this resilient and hardy strain as it produces heavy yields following a short flowering cycle.",night-train,2001,2,0,Night Train,,,,Hybrid,,Unknown Breeder,"Relaxed, Sleepy, Tingly, Euphoric, Uplifted","Insomnia, Pain, Stress, Lack of Appetite",Pepper,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1083,Nightfire-Og,sativa,4.3,"Euphoric,Uplifted,Tingly,Talkative,Energetic","Citrus,Pine,Earthy","NightFire OG by Sin City Seeds is a sativa-dominant hybrid that descends from parent strains White Fire OG and White Nightmare. With strong roots in the White family, you can depend on this cannabis strain to deliver a disorienting dose of euphoria that lets you forget life’s stressors as relaxation takes over mind and body. Earthy pine, sharp lemon, and sweet berry aromas radiate from NightFire OG’s crystal-coated buds, inviting you to indulge in this hard-hitting hybrid.",nightfire-og,1569,2,0,NightFire OG,,,,Hybrid,,Sin City Seeds,"Talkative, Energetic, Happy, Euphoric, Creative, Dry Mouth, Anxious","Stress, Depression","Earthy, Citrus",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1084,Nightmare-Cookies,hybrid,4.7,"Relaxed,Euphoric,Happy,Creative,Uplifted","Sweet,Pine,Woody","The commonsense cross of White Nightmare and Girl Scout Cookies, Nightmare Cookies is a hybrid strain that locks the consumer to the couch while delivering robust, uplifting euphoria. Nightmare Cookies exhibits beautiful purple hues, bright orange pistils, and an aroma that is thick with pine sap, earth, and sweetness. Enjoy this strain toward the end of the day to capitalize on its relaxing effects, appetite stimulation, and overall sedation. ",nightmare-cookies,4467,2,0,Nightmare Cookies,,,,Hybrid,,Sin City Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1085,Nina-Limone,sativa,5.0,"Euphoric,Happy,Energetic,Talkative,Uplifted","Lemon,Sweet,Citrus","Nina Limone by Colorado Seed Inc. is a stimulating citrus-heavy cross of Super Lemon Haze and Rebel God Smoke. While this strain produces beautiful, rich nuggets of hard, resinous flower, the yield is small and unsuitable for mass production, but may still be found in special, rare quantities. Instead, CO Seed Inc. bred a series of strains to capture and stabilize the tropical qualities of Nina Limone in tandem with strains like Gupta Kush, Flo, Hawaiian Sunrise, and Silver Back. ",nina-limone,1570,2,0,Nina Limone,,,,Sativa,,,"Euphoric, Creative, Focused, Relaxed, Happy, Anxious","Depression, Pain, Stress","Lemon, Citrus",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1086,Nordle,indica,4.4,"Relaxed,Happy,Creative,Uplifted,Focused","Sweet,Citrus,Pungent","Nordle, named after Howard Marks’ code word for “hashish,” is a high-CBD indica cross between Afghani and Skunk. With a CBD content as high as its THC concentrations, Nordle delivers mild effects that relieve pain and muscle spasms. Nordle, which flowers in 8 to 10 weeks, produces dense, conic buds with a pungent fruity and herbal aroma.",nordle,2002,2,0,Nordle,,,,Hybrid,,Mr. Nice,"Relaxed, Happy, Sleepy, Focused, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Inflammation, Muscle Spasms",Pine,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1087,North-American-Sativa,sativa,4.8,"Uplifted,Euphoric,Focused,Happy,Relaxed","Earthy,Pungent,Skunk","North American refers to any strain that grows natively in this region. These indigenous vareities (also called landraces) can exhibit indica or sativa characteristics depending on the climate and latitude at which it grows. Sativas tend to grow in warmer regions closer to the equator, while the hardier indica varieties are more common beyond 30 degrees latitude.",north-american-sativa,1572,2,0,North American Sativa,,,,Sativa,,,"Horny, Uplifted, Creative, Energetic, Euphoric",,"Ammonia, Pine",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1088,North-Indian,indica,4.0,"Uplifted,Happy,Hungry,Aroused,Sleepy","Tropical,Earthy,Woody","North Indian refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of this region's latitude and climate, these native landrace strains tend to be indica in structure and effect.",north-indian,2004,2,0,North Indian,,,,Indica,,,"Uplifted, Happy, Hungry, Horny, Sleepy, Dry Mouth","Muscle Spasms, Nausea, Stress",Earthy,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1089,Northern-Lights,indica,4.4,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Sweet,Pine","Northern Lights stands among the most famous strains of all time, a pure indica cherished for its resinous buds, fast flowering, and resilience during growth. Itself a descendant of indigenous Afghani and Thai landrace strains, Northern Lights has given rise to famous hybrids like Shiva Skunk and Super Silver Haze. Rumor has it that Northern Lights first sprouted near Seattle, Washington, but was propagated out of Holland after 1985 at what is now Sensi Seeds.Pungently sweet, spicy aromas radiate from the crystal-coated buds, which sometimes reveal themselves in hues of purple. Northern Lights’ psychoactive effects settle in firmly throughout the body, relaxing muscles and pacifying the mind in dreamy euphoria. Comfortable laziness allows patients to relieve pain and sleeplessness, while its mellow contentment roots out depression and stress. Several different Northern Lights phenotypes circulate the market, but Sensi Seeds recommends a general indoor flowering time of 45 to 50 days.",northern-lights,265,1,0,Northern Lights,,,,Hybrid,10,Seed Bank,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid","Stress, Pain, Insomnia, Depression, Lack of Appetite","Earthy, Pine, Sweet",,,127,,,0,,,0,,,,,,,,,
1090,Northern-Lights,indica,4.4,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Sweet,Pine","Northern Lights stands among the most famous strains of all time, a pure indica cherished for its resinous buds, fast flowering, and resilience during growth. Itself a descendant of indigenous Afghani and Thai landrace strains, Northern Lights has given rise to famous hybrids like Shiva Skunk and Super Silver Haze. Rumor has it that Northern Lights first sprouted near Seattle, Washington, but was propagated out of Holland after 1985 at what is now Sensi Seeds.Pungently sweet, spicy aromas radiate from the crystal-coated buds, which sometimes reveal themselves in hues of purple. Northern Lights’ psychoactive effects settle in firmly throughout the body, relaxing muscles and pacifying the mind in dreamy euphoria. Comfortable laziness allows patients to relieve pain and sleeplessness, while its mellow contentment roots out depression and stress. Several different Northern Lights phenotypes circulate the market, but Sensi Seeds recommends a general indoor flowering time of 45 to 50 days.",northern-lights,858,1,0,Northern Lights,,,,Hybrid,,Seed Bank,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid","Stress, Pain, Insomnia, Depression, Lack of Appetite","Earthy, Pine, Sweet",,,0,,,0,,,0,,,,,,,,,
1091,Northern-Skunk,hybrid,4.5,"Happy,Relaxed,Euphoric,Uplifted,Hungry","Skunk,Earthy,Pungent",,northern-skunk,862,1,0,Northern Skunk,,,,Hybrid,,Peak Seeds,,,,,,0,,,0,,,0,,,,,,,,,
1092,Northern-Wreck,indica,4.8,"Relaxed,Euphoric,Happy,Tingly,Creative","Earthy,Woody,Citrus","Northern Wreck is an indica-dominant strain that combines the dizzying strength of Northern Lights with the complex cerebral sensations of Trainwreck. Get to a comfortable place, because Northern Wreck will leave you melting under the force of its euphoria. With its heavy yields and fast flowering cycle, Northern Wreck is a blessing to commercial growers looking to harvest a lot of product quickly.",northern-wreck,2005,2,0,Northern Wreck,,,,Hybrid,,Unknown Breeder,"Euphoric, Happy, Relaxed, Creative, Uplifted, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Nausea","Earthy, Pine",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1093,Nova,indica,4.9,"Happy,Creative,Euphoric,Relaxed,Uplifted","Berry,Earthy,Woody","Nova is Canadian LP Tweed’s version of Pennywise, an indica-dominant cannabis strain with an equal ratio of THC and CBD. This combination of cannabinoids offers enhanced therapeutic effects for patients treating pain, anxiety, inflammation, stress disorders, and many other symptoms and conditions. Nova combines genetics from Jack the Ripper and Harlequin, who pass on relaxed and focused effects perfect for daytime medicating or productive afternoons. The aroma is subtle, but sweet woody notes with spicy pepper undertones can be detected on the exhale.",nova,4833,2,0,Nova,,,,Hybrid,,Tweed,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1094,Nuclear-Cookies,hybrid,4.7,None,None,"Nuclear Cookies is a new creation from Arizona Natural Selections. This 50/50 hybrid is the genetic offspring  of Chernobyl and Girl Scout Cookies, and offers a sweet, citrusy fragrance and a rich, earthy taste. Its aroma lingers after consumption, blanketing the consumer in its pungent terpene profile. This strain’s uplifting and relaxing full-body effects are coupled with pleasant euphoria, making this strain enjoyable and workable throughout the day. Consumers looking to ease stress, pain, and nausea may find the relief they seek in this odoriferous cannabis cut. ",nuclear-cookies,4676,2,0,Nuclear Cookies,,,,Hybrid,,Unknown Breeder,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1095,Nuggetry-Og,indica,3.9,"Creative,Euphoric,Sleepy,Giggly,Happy","Earthy,Pungent","Named after its breeder, Nuggetry OG is reported to be a solid, potent indica that induces spacey cerebral effects and and indica-typical, heavy body sensations. This strain differs in its exceptional appearance: the plant’s flowers are puffy and emerald with balanced coverage in soft orange hairs. The aroma is pungent and of the jet fuel category; similarly, it delivers on the harsh side with a rich, lingering aftertaste. Nuggetry OG induces strong, long-lasting effects that are useful when heavily medicating.",nuggetry-og,267,1,0,Nuggetry OG,,,,Indica,0,,"Creative, Euphoric, Sleepy, Happy, Dry Mouth, Paranoid","Insomnia, Pain, Stress, Nausea, Depression",Earthy,,,0,,,0,,,0,,,,,,,,,
1096,Nuken,indica,4.5,"Relaxed,Happy,Uplifted,Sleepy,Euphoric","Sweet,Earthy,Woody","The mostly indica Nuken is a Canadian strain bred by combining genetics from Kish (a cross of two Shishkaberry parents) and God Bud. Her even-keeled effects are delivered alongside a sweet, earthy aroma of fresh herbs and grass. While undeniably strong, Nuken typically leaves you functional enough to still enjoy hobbies and the company of friends. Nuken blooms with rounded, dense buds covered in a blanket of crystal resin veiling its sage hues.",nuken,2006,2,0,Nuken,,,,Hybrid,,Vancouver Seed Bank,"Relaxed, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid","Depression, Lack of Appetite, Pain","Citrus, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1097,Nurse-Jackie,sativa,4.4,"Euphoric,Relaxed,Uplifted,Happy,Energetic","Lemon,Pine,Menthol","Meet your new herbal caretaker, Nurse Jackie. She's an 85/15 sativa-dominant hybrid originally bred by Homegrown Natural Wonders, who crossed Jack the Ripper with Medicine Woman to create this sour lemon-flavored strain. Nurse Jackie is a dependable medicine no matter how early in the day it may be; her unencumbered, clear-headed buzz allows you to go about your day with relative ease, but novice consumers should be aware that this strain typically boasts a high THC content which can induce anxiety in some individuals. All phenotypes stretch tall, but Nurse Jackie can either lean toward the sour, rounded buds of Medicine Woman or the citrus-smelling, pointed flowers characteristic of Jack the Ripper.",nurse-jackie,1574,2,0,Nurse Jackie,,,,Hybrid,,TGA Seeds,"Euphoric, Happy, Relaxed, Uplifted, Hungry, Dry Mouth","Pain, Stress, Inflammation, Muscle Spasms","Lemon, Pine",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1098,Oca-Gold,indica,4.8,"Sleepy,Relaxed,Tingly,Euphoric,Happy","Spicy/Herbal,Sweet,Flowery","OCA Gold by Oregon Cannabis Authority is a potent indica-dominant cross of Afghani and Hindu Kush. This sedative genetic union is a natural bedfellow for consumers seeking relief from insomnia, restlessness, and minor physical discomforts. Its heavy physical effects ground the body and mind in a blissful, tranquilizing state. OCA Gold has a Kushy terpene profile that reeks of sweet floral and hashy aromas. ",oca-gold,2008,2,0,OCA Gold,,,,Indica,,,"Sleepy, Relaxed, Tingly, Euphoric, Happy","Stress, Depression, Inflammation, Insomnia","Honey, Vanilla",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1099,Ocd,sativa,4.5,"Energetic,Creative,Aroused,Uplifted,Euphoric",Tar,"OCD is a strain from downtown Seattle that can be rare to find, but is worth the hunt if you’re a true sativa lover. Active and energetic to the core, this strain is good for those who need to get stuff done. New patients should be cautious, however, as it can cause anxiety.",ocd,1576,2,0,OCD,,,,Sativa,,,"Energetic, Creative, Horny, Uplifted, Euphoric, Paranoid, Anxious, Dry Mouth","Stress, Nausea, Pain, Depression",,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,Og-18,hybrid,4.6,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Earthy,Pine,Diesel","OG #18, a phenotype of OG Kush, was introduced by DNA Genetics. Also known as 'Private Reserve,' this indica-dominant hybrid delivers a long-lasting sedative and trancey high, ideal for leisure and relaxation. True to its predecessors, this flower carries the distinct diesel kush flavor with sour undertones. Its prominence is not new: a winner of the High Times Cannabis Cup in '09 and '10, as well as the Europe Champions Cup and Spannabis Indoor Hydro Cup in '10. Interested in growing? Plan for a 9 week flowering time indoors.",og-18,945,2,0,OG-18,,,,Indica,,Cannamuscle,,,,"Menifee, CA",,1800,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,Og-18,hybrid,4.6,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Earthy,Pine,Diesel","OG #18, a phenotype of OG Kush, was introduced by DNA Genetics. Also known as 'Private Reserve,' this indica-dominant hybrid delivers a long-lasting sedative and trancey high, ideal for leisure and relaxation. True to its predecessors, this flower carries the distinct diesel kush flavor with sour undertones. Its prominence is not new: a winner of the High Times Cannabis Cup in '09 and '10, as well as the Europe Champions Cup and Spannabis Indoor Hydro Cup in '10. Interested in growing? Plan for a 9 week flowering time indoors.",og-18,1188,2,0,OG 18,,,,Indica,,San Bernardino Community Care,,,,"San Bernardino, CA",,2500,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102,Og-Cheese,hybrid,4.4,"Relaxed,Creative,Happy,Sleepy,Uplifted","Cheese,Citrus,Earthy","OG Cheese by GreenLabel Seeds is a sour-smelling hybrid that crosses a potent OG Skunk #1 with the resinous indica Afghani. Together, these two parent a powerfully euphoric strain with a funky aroma somewhat similar to that of cheese. OG Cheese’s dreamy, intoxicating buzz makes it a popular strain for recreational consumers, but commercial growers also cherish this strain for its short flowering cycle and heavy yields. Indoors, OG Cheese finishes flowering in 50 to 60 days while outdoor plants are ready to harvest by mid-October.",og-cheese,4561,2,0,OG Cheese,,,,Hybrid,,GreenLabel Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1103,Og-Chem,hybrid,4.5,"Happy,Euphoric,Relaxed,Uplifted,Energetic","Pine,Pungent,Earthy","OG Chem, also called Chem OG, is a sativa-dominant cross between two legendary strains, Chemdawg and OG Kush. The diesel notes of Chemdawg combine with the sour, piney scent of OG Kush to create a pungent skunky aroma that fills the room. Uplifting and euphoric, OG Chem invites the mind to indulge in its creative side while elevating the mood to a light and carefree state.",og-chem,5371,2,0,OG Chem,,,,Hybrid,,Connoisseur Genetics,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1104,Og-Eddy-Lepp,indica,4.0,"Happy,Sleepy,Hungry,Talkative,Tingly",Tropical,OG Eddy Lepp is an indica strain that won 2nd place in the 2013 Cannabis Cup and also competed in the 2014 competition.,og-eddy-lepp,2009,2,0,OG Eddy Lepp,,,,Hybrid,,3rd Generation Family,"Happy, Sleepy, Hungry, Talkative, Tingly",,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1105,Og-Kush,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Earthy,Pine,Woody","OG Kush makes up the genetic backbone of West Coast cannabis varieties, but in spite of its ubiquity, its genetic origins remain a mystery. Popular myth maintains that Chemdawg and Hindu Kush parented OG Kush, passing on the distinct “kush” bud structure we see in many strains today. However, we can’t be sure because OG Kush first came from bag seed in the early 90s. The earliest propagators (now known as Imperial Genetics) are said to have brought the seeds out of Florida to Colorado and southern California, where it now flourishes. There are many different phenotypes of OG Kush, some of which include Tahoe OG, SFV OG, and Alpha OG. OG Kush is cherished for its ability to crush stress under the weight of its heavy euphoria. It carries an earthy pine and sour lemon scent with woody undertones, an aroma that has become the signature of OG Kush varieties and descendants. With OG Kush, patients most commonly cite improvements in migraines, ADD/ADHD, and stress disorders. ",og-kush,270,1,0,OG Kush,,,,Hybrid,0,Unknown Breeder,,,,"Los Angeles, CA",,1700,,,0,,,0,,,,,,,,,
1106,Og-La-Affie,indica,4.8,"Relaxed,Happy,Uplifted,Focused,Creative","Earthy,Pepper,Woody","OG LA Affie from DNA Genetics is a pure indica variety best known for parenting the famed LA Confidential. This indica powerhouse is chosen by many patients treating pain and insomnia because, unlike many other pure indica strains, OG LA Affie provides swift relief without inevitable sedation. Instead, it offers an unusually energetic and psychedelic buzz that makes you wonder how a sativa never made it into the genetic mix. The aroma is a subtle blend of earthy and sweet, similar to that of its LA Confidential offspring.",og-la-affie,2010,2,0,OG LA Affie,,,,Indica,,,"Relaxed, Happy, Euphoric, Tingly, Dry Mouth","Pain, Stress, Insomnia, Depression","Earthy, Pepper",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
